timesteps,goals,ball_touches,avg_ball_speed,avg_car_speed,avg_boost,steps
50029,5,47,47.1,730.5,16.9,50029
100048,7,56,64.0,742.7,16.6,50019
150060,7,57,71.8,748.2,17.8,50012
200063,12,46,49.9,756.3,17.2,50003
250092,5,37,43.6,740.8,17.6,50029
300105,2,40,49.1,779.8,16.6,50013
350131,6,39,42.6,745.3,17.6,50026
400136,8,59,72.2,746.3,16.5,50005
450162,5,54,54.5,733.7,17.2,50026
500163,2,41,45.7,747.4,16.5,50001
550176,6,54,62.0,751.9,18.5,50013
600203,6,41,45.3,738.1,15.9,50027
650224,6,33,45.7,750.4,17.7,50021
700224,4,45,46.0,744.0,15.8,50000
750242,3,45,47.0,741.0,16.7,50018
800244,11,41,43.6,735.9,16.9,50002
850250,7,46,51.4,767.0,17.7,50006
900257,5,52,48.5,763.8,15.8,50007
950281,4,50,57.6,752.9,17.2,50024
1000297,9,61,69.3,758.4,17.4,50016
1050312,5,39,38.1,756.8,17.6,50015
1100323,9,39,46.0,758.9,17.8,50011
1150333,10,58,63.6,775.4,17.1,50010
1200345,4,54,57.0,736.1,17.1,50012
1250356,4,39,45.3,768.1,17.4,50011
1300386,5,58,59.9,733.7,15.9,50030
1350387,6,49,50.6,771.4,16.4,50001
1400395,4,44,46.1,767.9,17.5,50008
1450420,7,56,64.5,769.6,17.9,50025
1500437,7,42,48.0,755.0,17.2,50017
1550467,6,44,50.0,751.5,17.1,50030
1600476,3,47,54.7,746.9,16.4,50009
1650481,5,54,59.4,763.7,18.1,50005
1700502,4,47,49.9,748.0,17.2,50021
1750520,9,55,68.0,758.2,16.9,50018
1800543,4,60,71.8,751.0,16.1,50023
1850571,9,60,59.7,747.2,16.2,50028
1900586,11,52,67.4,768.4,18.0,50015
1950612,7,44,51.3,764.7,16.9,50026
2000618,7,51,54.1,763.1,16.8,50006
2050634,5,54,49.9,746.1,16.1,50016
2100634,7,63,66.5,736.7,15.8,50000
2150643,6,51,59.9,747.2,17.5,50009
2200656,4,59,53.3,742.2,17.3,50013
2250665,7,56,57.4,753.1,17.0,50009
2300676,5,68,68.6,753.3,16.9,50011
2350703,8,45,57.7,761.7,17.2,50027
2400709,7,54,61.6,777.7,17.5,50006
2450722,7,63,73.9,758.4,16.9,50013
2500751,5,35,41.8,759.1,16.9,50029
2550751,7,46,59.9,757.3,17.3,50000
